"Year";"Annual real GNP, U.S., 1909 to 1970"
"1909";116.8
"1910";120.1
"1911";123.2
"1912";130.2
"1913";131.4
"1914";125.6
"1915";124.5
"1916";134.3
"1917";135.2
"1918";151.8
"1919";146.4
"1920";140.0
"1921";127.8
"1922";148.0
"1923";165.9
"1924";165.5
"1925";179.4
"1926";190.0
"1927";189.8
"1928";190.9
"1929";203.6
"1930";183.5
"1931";169.3
"1932";144.2
"1933";141.5
"1934";154.3
"1935";169.5
"1936";193.0
"1937";203.2
"1938";192.9
"1939";209.4
"1940";227.2
"1941";263.7
"1942";297.8
"1943";337.1
"1944";361.3
"1945";355.2
"1946";312.6
"1947";309.9
"1948";323.7
"1949";324.1
"1950";355.3
"1951";383.4
"1952";395.1
"1953";412.8
"1954";407.0
"1955";438.0
"1956";446.1
"1957";452.5
"1958";447.3
"1959";475.9
"1960";487.7
"1961";497.2
"1962";529.8
"1963";551.0
"1964";581.1
"1965";617.8
"1966";658.1
"1967";675.2
"1968";706.6
"1969";724.7
"1970";720.0

Annual real GNP, U.S., 1909 to 1970

